_id,code_value,code,code_list_name,code_name,create_or_change_date,is_popular,definition
65dc387e77514c3bbd3beaf6,131,HAC,Hotel Amenity Code,Body wrap,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf7,132,HAC,Hotel Amenity Code,Public area air conditioned,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf8,133,HAC,Hotel Amenity Code,Efolio available to company,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaf9,134,HAC,Hotel Amenity Code,Individual Efolio available,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beafa,135,HAC,Hotel Amenity Code,Video review billing,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beafb,136,HAC,Hotel Amenity Code,Butler service,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beafc,137,HAC,Hotel Amenity Code,Complimentary in-room coffee or tea,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beafd,138,HAC,Hotel Amenity Code,Complimentary buffet breakfast,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beafe,139,HAC,Hotel Amenity Code,Complimentary cocktails,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beaff,140,HAC,Hotel Amenity Code,Complimentary coffee in lobby,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb00,141,HAC,Hotel Amenity Code,Complimentary continental breakfast,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb01,142,HAC,Hotel Amenity Code,Complimentary full american breakfast,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb02,143,HAC,Hotel Amenity Code,Dinner delivery service from local restaurant,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb03,144,HAC,Hotel Amenity Code,Complimentary newspaper delivered to room,2006-07-17T00:00:00.000Z,false,
65dc387e77514c3bbd3beb04,145,HAC,Hotel Amenity Code,Complimentary newspaper in lobby,2006-07-17T00:00:00.000Z,false,
65dc387e77514c3bbd3beb05,146,HAC,Hotel Amenity Code,Complimentary shoeshine,2006-07-17T00:00:00.000Z,false,
65dc387e77514c3bbd3beb06,147,HAC,Hotel Amenity Code,Evening reception,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb07,148,HAC,Hotel Amenity Code,Front desk,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb08,149,HAC,Hotel Amenity Code,Grocery shopping service available,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb09,150,HAC,Hotel Amenity Code,Halal food available,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb0a,151,HAC,Hotel Amenity Code,Kosher food available,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb0b,152,HAC,Hotel Amenity Code,Limousine service,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb0c,153,HAC,Hotel Amenity Code,Managers reception,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb0d,154,HAC,Hotel Amenity Code,Medical Facilities Service,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb0e,155,HAC,Hotel Amenity Code,Telephone jack adaptor available,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb0f,156,HAC,Hotel Amenity Code,All-inclusive meal plan ,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb18,157,HAC,Hotel Amenity Code,Buffet breakfast,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb19,158,HAC,Hotel Amenity Code,Communal bar area,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb1a,159,HAC,Hotel Amenity Code,Continental breakfast,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb1b,160,HAC,Hotel Amenity Code,Full meal plan,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb1c,161,HAC,Hotel Amenity Code,Full american breakfast,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb1d,162,HAC,Hotel Amenity Code,Meal plan available,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb1e,163,HAC,Hotel Amenity Code,Modified american meal plan,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb20,164,HAC,Hotel Amenity Code,Food and beverage outlets,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb25,165,HAC,Hotel Amenity Code,Lounges/bars,2003-06-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb26,166,HAC,Hotel Amenity Code,Barber shop,2003-12-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb27,167,HAC,Hotel Amenity Code,Video checkout,2003-12-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb28,168,HAC,Hotel Amenity Code,Onsite laundry,2003-12-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb29,169,HAC,Hotel Amenity Code,24-hour food & beverage kiosk,2003-12-01T00:00:00.000Z,false,
65dc387e77514c3bbd3beb2a,170,HAC,Hotel Amenity Code,Concierge lounge,2004-05-14T00:00:00.000Z,false,
65dc387e77514c3bbd3beb2b,171,HAC,Hotel Amenity Code,Parking fee managed by hotel,2004-05-14T00:00:00.000Z,false,
65dc387e77514c3bbd3beb2c,172,HAC,Hotel Amenity Code,Transportation,2004-10-04T00:00:00.000Z,false,
65dc387e77514c3bbd3beb2d,173,HAC,Hotel Amenity Code,Breakfast served in restaurant,2004-10-04T00:00:00.000Z,false,
